"Initial Coding Methodology, Before Any Reading",,,,,,,,,,,,,,Post-reading coding,,,,,,RR coding
Paper,Research Q,Methodology,Topic,Autonomy level,"Findings (positive, negative, mixed, neutral)",Application domain,Sub-method A,Sub-method B,Repeatable,Comparison,Real system built,Real system compared,Citations,Dataset,Award,Build possible,Adapt type,Explicit Research Question,Whole-system autonomy,Adaptation Controller
SASO_Berrevoets,How the settings of a mobile end node impact key performance indicators for reliability and energy consumption when communicating with LoRa in IoT systems?,Real application,Adaptive Algorithm for IoT communication,Level 3,Positive,IoT / mobile nodes,,,Particial (no code - only high level algorithms provided),Primitive baseline (conservative setting),Yes,Yes,3,N /A,No,Yes,Parametric,Y,N,Manual analysis (no offline/online learning - based on experiments)
SASO_Ceriotti,Is it feasible to create a dynamically adjustable schedule-based protocol to support QoS in low-power wireless communication? ,Simulation + testbeds,Adaptive Algorithm for low-power wireless links,Level 3,Positive,IoT (not one case study in particular),,,No (no code),Idealised schemes,Yes,No,2,N/A,No,Yes,Parametric,N,N,Protocol
SASO_Esterle,"Can multiple, different teams outperform single, homogeneous teams in terms of achieved k-coverage and the number of detected tasks?",Simulation,Team affiliation in autonomous robots,Level 3 or 4,Positive,Robotics / team formation,goal-aware formation,machine learning technique,No (no code),Primitive baseline (static affiliation scheme),No,No,1,N/A,No,Yes,Behavioural,Y,N,Goal-aware and Machine learning
SASO_Feldman,Can a small portion of nomadic agents that widely traverse belief space can disrupt a larger population of stampeding agents?,Simulation (data generation + data analysis),Agent-based simulations as a way to model human actions in belief space,N/A,Neutral,Human actions in belief space,,,"No (no data set, no code, no simulator)",No comparison,No,No,2,Private,No,No,N/A,N,N,N/A
SASO_Hanke,How to support a self-organising mechanism for re-allocating capabilities to robots? ,Real application (testbed and real robots),Resource allocation considering reconfigurable robots,Level 3 or 4,Positive,Robotics (Assisting firefighters in chemical accidents),centralised approach,distributed approach,"No (no code, no testbed)","Three approaches (centralised, distributed, mixed)",Yes,No,4,N/A,No,Yes,Behavioural,Y,N,Constraint Satisfaction Optimisation Problem (CSOP)
SASO_Hu,"Under the scenarios where there are conflicts between the social value and individual interest, how should agents make decisions?",Simulation,Social value determining agent behaviour ,N/A,Neutral,Multi-agents,,,"No (no code, no simulator)","Three approaches (Homogeneous societies, heterogeneous sociaties, dynamic societies)",No,No,1,N/A,No,No,N/A,Y,N,Social values and individual interests
SASO_King,Can local neighbourhood entropy be used to determine metrics for evaluating macro-level order of a system?,Simulation,Determining macro-level order of complex adaptive systems,N/A,Positive,Complex Adaptive Systems (particularly autonomous swarm and Conway's game of life),,,No (no code),Multiple scenarios and two different application domains (UAV swarm and Game of Life),No,No,3,N/A,No,No,N/A,N,N,N/A
SASO_Kurka,Can collective disobidience be used as a transformative mechanism for rule- or ruler-change in norm-governed multi-agent systems?,Simulation,Disobidience in norm-goverened multi-agente systems,N/A,Positive,Multi-agents systems / resource utilisation,,,No (no code),Baseline behaviour (not implementing the extended premises),No,No,3,N/A,Yes,No,N/A,Y,N,N/A
SASO_Liu,How to build a self-organizing heuristic for implicitly sharing context using neighbour discovery beacons?,Simulation,Local and collaborative context sensing,Levrel 3 or 4,Positive,Smart cities,,,No (no code),Benchmarked greedy and randomised algorithms ,No,No,8,N/A,No,Yes,N/A (changes the type of information shared),N,N,Heuristics
SASO_Mera-Gómez,How to build elasticity management that promotes dynamic agent coalitions for resource sharing in multi-tenant cloud environments?,Simulation,Elasticity Management in Multi-tenant SaaS,Level 3,Positive,Cloud Computing (Multi-tenant SaaS),,,Yes (link to repository -- didn't work for me though),Show how the approach behaves in different scenarios,No,No,2,Public (workloads),No,Yes,Parametric,N,N,Multi-agent Reinforcement learning 
SASO_Pitt,How does automation of basic democracy can be used as a framework for the self-organisation of collective governance in open systems? What are the consequences?,Simulation ,Basic democracy as the base to create self-organising open systems,N/A,Positive,Socio-technical systems,,,Yes (code is provided),No comparison just analysis of different scenarios,Yes (simulator is built using their ideas),No,4,N/A,No,No,N/A,Y,N,Social values - basic democracy
SASO_Podolskiy,How do different forecasting models perform to predict changes in cloud-based application workloads.?,Forecasting analysis on real workloads,Forecasting models of cloud-based applicaitons,Level 3,Neutral,Cloud-based applications,,,Yes (code and data provided),Different forecasting models,No,No,7,Public (workloads - upon request),No,Yes,N/A,N,N,"Forecasting models (ARIMA, exponential smoothing, SSA, SVR, linear regression)"
SASO_Reichstaller,Can Markov Decision Processes (MDP) be used to derive test strategies for self-adaptive systems at runtime?,Simulation,Test of self-adaptive systems,N/A,Positive,Robotics (Smart Vacuum System),mobel-based reinforcement learning,model-free reinforcement learning,"Yes (simulation, methods, all available on GitHub)",A random appraoch + a model-free RL approach,No,No,1,N/A,No,Yes,N/A,Y,N,MDP - reinforcement learning a mixture of model-free and model-based approaches
SASO_Seipp,How one achieve graceful and efficient changes between SLPs by manipulating ALPs?,Simulation,Agent-based models,Level 3,Neutral,Swarm of robots (flocking),,,No (no code),Three different transition approaches,No,No,1,N/A,No,No,N/A,N,N,N/A
SASO_Verstaevel,Can self-organising learning models be applied to improve anomalies detection?,Simulation + initial experiments in real settings,Anomaly detection in learning models,Level 3,Positive,Healthcare (elderly people),,,Partial (no code - only high level algorithms),Analysed different parameters,Partially (results reported are from simulations),No,3,Did not provide,No,Yes,Parametric,N,N,Heuristics
SASO_Brand,How to use runtime models to build a generic adaptive monitoring?,Simulation,Adaptive monitoring,Level 4,Positive,Online shop tenants,,,No (no code),Exhaustive monitoring,No,No,4,Public (online shopping data),No,Yes,Architectural,N,N,Model-driven
SASO_Budhraja,How to optimise the suggested SLPs and formulate a solution using iterative feedback?,Simulation,Agent-based models programming by demonstration,Level 4,Positive,Agents modelling forest fires,,,No (no code),Different regression models,No,No,1,N/A,No,No,Behavioural,N,N,Regression
SASO_Frasheri,How can local reasoning mechanisms to adapt the level of cooperation among agents improve the overall system's performance?,Simulation,Multi-robots adaptive autonomy,Level 4,Postive,Search and rescue scenarios (fire rescue),,,Yes (code provided),Static policy,No,No,3,N/A,No,Yes,Behavioural,Y,N,Math model
SASO_Jahan,Can system's be made security aware by expressing and managing the controls and adaptation operators so that changes to a security assurance case can be embedded and traced within the executing system?,Case study analysis,Adaptive security control assurance,Level 4,Neutral,Smart Inventory Management system,,,No (no code),No comparison,No,No,3,N/A,No,Yes,Architectural,N,N,Template-based
SASO_Patros,"Which conditions are required for the flattening down and spreading out of resource utilization of a tenant to be beneficial to a co-located tenant, particularly when that scaled-down task is GC ?",Real application (A toy application),GC elasticity to reduce impact on multitenant cloud environments,Level 4,Positive,Cloud platforms / applications,,,Partial (no code - only high level algorithms),With the concept and without the concept,Yes,Yes,0,N/A,No,Yes,Parametric,Y,N,Rule-based
